temperature,windspeed,precipitation,humidity,cloudcover,hazard_score
6.5,3.8,0.0,100,100,25
10.1,4.0,0.0,88,100,20
10.5,4.0,0.0,87,100,20
11.2,5.8,0.0,85,100,20
11.8,5.8,0.0,80,73,15
12.9,4.7,0.0,72,78,15
13.7,3.3,0.0,70,62,10
14.8,3.4,0.0,67,39,10
15.7,4.8,0.0,62,31,10
16.1,6.4,0.0,62,21,5
16.2,7.7,0.0,62,11,5
15.7,8.2,0.0,66,3,5
13.2,5.6,0.0,80,1,5
10.6,6.1,0.0,90,10,10
9.6,5.9,0.0,93,0,15
8.9,6.0,0.0,93,0,15
8.0,5.7,0.0,95,0,15
7.1,6.5,0.0,96,0,15
6.5,7.0,0.0,97,0,15
5.8,8.2,0.0,98,0,15
5.5,7.9,0.0,99,0,15
4.8,7.7,0.0,100,0,20
4.7,6.4,0.0,100,0,20
4.8,4.9,0.0,100,100,30
4.8,4.3,0.0,100,100,30
7.6,6.1,0.0,93,98,25
7.9,5.3,0.0,93,89,25
8.8,5.5,0.0,90,90,25
10.0,4.0,0.0,82,77,20
11.3,1.1,0.0,73,65,10
12.4,1.1,0.0,69,64,10
13.5,2.2,0.0,66,11,5
14.6,3.3,0.0,63,8,5
15.3,4.0,0.0,63,4,5
15.4,5.6,0.0,64,1,5
14.8,6.8,0.0,66,3,5
11.7,7.9,0.0,82,1,10
9.6,6.4,0.0,90,2,15
8.9,6.9,0.0,92,0,15
7.9,6.6,0.0,93,0,15
6.9,8.2,0.0,95,0,15
6.6,7.2,0.0,95,1,15
6.3,6.5,0.0,96,0,15
6.1,6.1,0.0,96,0,15
5.1,6.9,0.0,99,29,15
4.8,7.8,0.0,100,54,25
5.3,6.8,0.0,100,100,25
5.8,5.4,0.0,100,100,25
5.2,2.6,0.0,100,100,25
6.2,4.2,0.0,99,100,25
6.8,3.8,0.0,100,100,25
7.7,3.1,0.0,98,100,25
8.9,3.6,0.0,98,100,25
10.3,3.1,0.0,92,100,20
12.8,2.9,0.0,81,52,15
14.7,0.8,0.0,69,62,10
15.6,4.2,0.0,66,39,10
15.9,6.8,0.0,65,19,5
15.8,7.1,0.0,66,20,5
15.2,7.0,0.0,68,14,5
12.4,8.2,0.0,83,0,10
11.6,10.4,0.0,81,0,15
10.2,8.7,0.0,87,0,10
9.1,6.8,0.0,93,6,15
8.4,5.3,0.0,94,10,15
7.7,5.4,0.0,96,12,15
7.7,5.2,0.0,96,11,15
7.3,5.5,0.0,96,7,15
6.6,6.6,0.0,97,3,15
6.3,6.2,0.0,97,1,15
5.8,5.4,0.0,99,4,15
5.4,4.6,0.0,100,9,15
5.2,4.2,0.0,100,99,25
8.8,5.8,0.0,90,44,20
9.1,5.0,0.0,89,96,25
9.8,6.2,0.0,86,57,20
11.7,7.2,0.0,80,34,10
13.8,7.3,0.0,73,8,5
15.4,7.4,0.0,68,1,5
16.8,3.4,0.0,64,54,10
17.6,2.9,0.0,60,66,5
17.9,3.3,0.0,58,36,5
18.0,3.3,0.0,57,35,5
17.7,4.9,0.0,58,22,0
15.9,7.7,0.0,67,2,5
13.7,8.3,0.0,80,100,15
13.2,9.3,0.0,82,100,20
12.5,10.2,0.0,85,61,20
10.9,9.3,0.0,93,0,10
9.9,7.4,0.0,95,3,15
8.9,6.0,0.0,97,21,15
8.7,5.9,0.0,97,96,25
8.5,5.3,0.0,98,96,25
8.6,5.2,0.0,98,100,25
9.2,6.3,0.0,97,100,25
9.7,7.9,0.0,95,26,15
9.3,6.6,0.0,97,56,20
10.5,6.1,0.1,92,100,25
10.5,5.2,0.0,93,100,20
11.0,4.4,0.0,90,83,20
